block_id	seq_id	bin_id	start	end	seq_id2	bin_id2	start2	end2	strand	block_ori	colour_block
0	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	12567	1006179	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	81266	1019823	+	+	DroMel#1#2L
0	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	81266	1019823	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	81119	1040806	+	+	DroMel#1#2L
0	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	81119	1040806	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	40410	1169646	+	+	DroMel#1#2L
1	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	1007195	1763785	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	1020797	1757704	+	+	DroMel#1#2L
1	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	1020797	1757704	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	1041724	1788053	+	+	DroMel#1#2L
1	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	1041724	1788053	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	7542819	8431063	+	+	DroMel#1#2L
2	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	1783352	1792079	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	1777192	1785812	+	-	DroMel#1#2L
2	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	1777192	1785812	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	1809727	1818614	-	-	DroMel#1#2L
2	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	1809727	1818614	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	8453559	8470633	-	-	DroMel#1#2L
3	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	1819724	2036254	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	1807758	2017128	+	+	DroMel#1#2L
3	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	1807758	2017128	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	1838856	2052410	+	+	DroMel#1#2L
3	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	1838856	2052410	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	8497298	8766233	+	+	DroMel#1#2L
4	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	2037780	2149115	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	2018786	2113043	+	-	DroMel#1#2L
4	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	2018786	2113043	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	2053917	2148426	+	-	DroMel#1#2L
4	DroSim#1#2L	Drosophila_simulans_GCF_016746395.2.fasta	2053917	2148426	DroSuz#1#2L	Drosophila_suzuki_GCF_043229965.1.fasta	11682947	11806299	-	-	DroMel#1#2L
5	DroMel#1#2L	Drosophila_melanogaster_GCF_000001215.4.fasta	2151783	2580036	DroSech#1#2L	Drosophila_sechellia_GCF_004382195.2.fasta	2115722	2536891	+	-	DroMel#1#2L
